BATTER,Dismissal,R,B,M,4s,6s,SR,URL,Match
Paul Stirling ,c Rashid Khan b Fareed Ahmad,20,9,19,3,1,222.22,/cricketers/paul-stirling-303427,ireland vs afghanistan
Andy Balbirnie (c),c Ibrahim Zadran b Azmatullah Omarzai,15,5,10,2,1,300,/cricketers/andy-balbirnie-303423,ireland vs afghanistan
Lorcan Tucker †,c Najibullah Zadran b Fareed Ahmad,4,8,12,0,0,50,/cricketers/lorcan-tucker-928057,ireland vs afghanistan
Harry Tector ,c †Rahmanullah Gurbaz b Fareed Ahmad,13,9,13,2,0,144.44,/cricketers/harry-tector-961407,ireland vs afghanistan
George Dockrell ,not out ,41,27,38,4,2,151.85,/cricketers/george-dockrell-348034,ireland vs afghanistan
Gareth Delany ,lbw b Rashid Khan,3,4,6,0,0,75,/cricketers/gareth-delany-1099379,ireland vs afghanistan
Mark Adair ,lbw b Naveen-ul-Haq,0,1,3,0,0,0,/cricketers/mark-adair-526441,ireland vs afghanistan
Fionn Hand ,c Fareed Ahmad b Naveen-ul-Haq,0,1,3,0,0,0,/cricketers/fionn-hand-1099225,ireland vs afghanistan
Barry McCarthy ,c Mohammad Nabi b Rashid Khan,1,3,8,0,0,33.33,/cricketers/barry-mccarthy-348059,ireland vs afghanistan
Martin Guptill , b Hosein,15,13,11,1,1,115.38,/cricketers/martin-guptill-226492,west-indies vs new-zealand
Devon Conway †,c †Thomas b Walsh,21,17,39,1,1,123.52,/cricketers/devon-conway-379140,west-indies vs new-zealand
Mitchell Santner ,c Powell b Hosein,13,11,17,2,0,118.18,/cricketers/mitchell-santner-502714,west-indies vs new-zealand
Kane Williamson (c),c Hosein b Drakes,24,27,40,2,0,88.88,/cricketers/kane-williamson-277906,west-indies vs new-zealand
Glenn Phillips ,c King b Smith,41,26,43,4,2,157.69,/cricketers/glenn-phillips-823509,west-indies vs new-zealand
Daryl Mitchell ,c Drakes b Smith,14,16,29,0,0,87.5,/cricketers/daryl-mitchell-381743,west-indies vs new-zealand
James Neesham ,c †Thomas b Smith,6,6,13,0,0,100,/cricketers/james-neesham-355269,west-indies vs new-zealand
Brandon King ,c Guptill b Southee,53,35,51,4,3,151.42,/cricketers/brandon-king-670035,west-indies vs new-zealand
Shamarh Brooks ,not out ,56,59,74,3,2,94.91,/cricketers/shamarh-brooks-230555,west-indies vs new-zealand
Umer Toor †,c Adnan Idrees b Sayed Monib,27,20,-,1,2,135,/cricketers/umer-toor-1301600,bahrain vs kuwait
Muhammad Younis ,c Mohamed Shafeeq b Aslam,10,12,-,1,0,83.33,/cricketers/muhammad-younis-1217471,bahrain vs kuwait
