BOWLER,O,M,R,W,Econ,WD,NB,URL,Match
Mohammad Hafeez,1,0,10,0,10,0,0,/cricketers/mohammad-hafeez-41434,new-zealand vs pakistan
Shane Bond,4,0,33,1,8.25,1,0,/cricketers/shane-bond-36326,new-zealand vs pakistan
Mark Gillespie,3,0,30,0,10,1,0,/cricketers/mark-gillespie-37111,new-zealand vs pakistan
Daniel Vettori,4,0,22,1,5.5,0,0,/cricketers/daniel-vettori-38710,new-zealand vs pakistan
Scott Styris,3,0,14,1,4.66,0,0,/cricketers/scott-styris-38407,new-zealand vs pakistan
Jeetan Patel,3.5,0,31,1,8.08,0,0,/cricketers/jeetan-patel-38141,new-zealand vs pakistan
Jacob Oram,1,0,15,0,15,0,0,/cricketers/jacob-oram-38062,new-zealand vs pakistan
Shaun Pollock,4,0,17,2,4.25,0,0,/cricketers/shaun-pollock-46774,south-africa vs india
Makhaya Ntini,4,0,30,1,7.5,2,0,/cricketers/makhaya-ntini-46592,south-africa vs india
Johan van der Wath,4,0,43,0,10.75,0,0,/cricketers/johan-van-der-wath-47693,south-africa vs india
Morne Morkel,4,0,32,1,8,0,1,/cricketers/morne-morkel-46538,south-africa vs india
Vernon Philander,2,0,14,0,7,2,0,/cricketers/vernon-philander-46945,south-africa vs india
Albie Morkel,2,0,13,0,6.5,0,0,/cricketers/albie-morkel-46248,south-africa vs india
Sreesanth,4,0,23,2,5.75,6,0,/cricketers/sreesanth-34274,south-africa vs india
RP Singh,4,0,13,4,3.25,3,0,/cricketers/rp-singh-35280,south-africa vs india
Joginder Sharma,4,0,24,0,6,1,0,/cricketers/joginder-sharma-29976,south-africa vs india
Irfan Pathan,4,0,16,0,4,1,0,/cricketers/irfan-pathan-32685,south-africa vs india
Harbhajan Singh,4,0,31,2,7.75,0,0,/cricketers/harbhajan-singh-29264,south-africa vs india
Mohammad Asif,4,0,26,1,6.5,2,0,/cricketers/mohammad-asif-41411,bangladesh vs pakistan
Sohail Tanvir,3,0,27,0,9,3,2,/cricketers/sohail-tanvir-43265,bangladesh vs pakistan
Shahid Afridi,4,0,25,1,6.25,0,0,/cricketers/shahid-afridi-42639,bangladesh vs pakistan
Mohammad Hafeez,3,0,27,2,9,1,0,/cricketers/mohammad-hafeez-41434,bangladesh vs pakistan
Umar Gul,3.4,0,17,1,4.63,0,1,/cricketers/umar-gul-43524,bangladesh vs pakistan
Shoaib Malik,2,0,15,2,7.5,0,1,/cricketers/shoaib-malik-42657,bangladesh vs pakistan
Mashrafe Mortaza,4,0,45,1,11.25,1,0,/cricketers/mashrafe-mortaza-56007,bangladesh vs pakistan
Syed Rasel,3,0,34,1,11.33,0,1,/cricketers/syed-rasel-56160,bangladesh vs pakistan
Abdur Razzak,4,0,16,2,4,1,0,/cricketers/abdur-razzak-56283,bangladesh vs pakistan
Shakib Al Hasan,4,0,17,0,4.25,0,0,/cricketers/shakib-al-hasan-56143,bangladesh vs pakistan
Mahmudullah,4,0,28,1,7,1,0,/cricketers/mahmudullah-56025,bangladesh vs pakistan
Brett Lee,4,0,27,2,6.75,0,0,/cricketers/brett-lee-6278,australia vs sri-lanka
Nathan Bracken,3.3,0,14,2,4,0,0,/cricketers/nathan-bracken-4185,australia vs sri-lanka
Mitchell Johnson,4,0,18,0,4.5,1,0,/cricketers/mitchell-johnson-6033,australia vs sri-lanka
Stuart Clark,4,0,20,4,5,0,1,/cricketers/stuart-clark-4582,australia vs sri-lanka
Shane Watson,3.2,0,19,1,5.7,0,1,/cricketers/shane-watson-8180,australia vs sri-lanka
Andrew Symonds,0.4,0,2,1,3,0,0,/cricketers/andrew-symonds-7702,australia vs sri-lanka
Chaminda Vaas,2,0,21,0,10.5,0,1,/cricketers/chaminda-vaas-50804,australia vs sri-lanka
Dilhara Fernando,3,1,12,0,4,0,0,/cricketers/dilhara-fernando-48835,australia vs sri-lanka
Farveez Maharoof,2,0,34,0,17,1,0,/cricketers/farveez-maharoof-49638,australia vs sri-lanka
Tillakaratne Dilshan,2,0,13,0,6.5,1,0,/cricketers/tillakaratne-dilshan-48472,australia vs sri-lanka
Lasith Malinga,1,0,8,0,8,0,0,/cricketers/lasith-malinga-49758,australia vs sri-lanka
Jehan Mubarak,0.2,0,8,0,24,0,0,/cricketers/jehan-mubarak-49633,australia vs sri-lanka
James Anderson,4,0,25,0,6.25,4,0,/cricketers/james-anderson-8608,england vs india
Stuart Broad,4,0,60,0,15,2,0,/cricketers/stuart-broad-10617,england vs india
Andrew Flintoff,4,0,33,1,8.25,1,0,/cricketers/andrew-flintoff-12856,england vs india
Dimitri Mascarenhas,1,0,15,0,15,0,0,/cricketers/dimitri-mascarenhas-16932,england vs india
Chris Tremlett,4,0,45,2,11.25,2,1,/cricketers/chris-tremlett-21650,england vs india
Paul Collingwood,1,0,13,0,13,0,0,/cricketers/paul-collingwood-10772,england vs india
Darren Maddy,2,0,20,1,10,0,0,/cricketers/darren-maddy-16876,england vs india
Sreesanth,4,0,38,0,9.5,1,0,/cricketers/sreesanth-34274,england vs india
RP Singh,4,0,28,2,7,1,0,/cricketers/rp-singh-35280,england vs india
Joginder Sharma,4,0,57,0,14.25,0,0,/cricketers/joginder-sharma-29976,england vs india
Irfan Pathan,4,0,37,3,9.25,1,0,/cricketers/irfan-pathan-32685,england vs india
Harbhajan Singh,4,0,35,1,8.75,2,0,/cricketers/harbhajan-singh-29264,england vs india
Shaun Pollock,4,0,41,0,10.25,2,0,/cricketers/shaun-pollock-46774,south-africa vs new-zealand
Andre Nel,4,0,23,0,5.75,0,0,/cricketers/andre-nel-46569,south-africa vs new-zealand
Morne Morkel,4,0,17,4,4.25,0,1,/cricketers/morne-morkel-46538,south-africa vs new-zealand
Johan van der Wath,4,0,31,2,7.75,3,0,/cricketers/johan-van-der-wath-47693,south-africa vs new-zealand
Albie Morkel,3,0,30,1,10,0,1,/cricketers/albie-morkel-46248,south-africa vs new-zealand
Vernon Philander,1,0,10,0,10,0,0,/cricketers/vernon-philander-46945,south-africa vs new-zealand
Shane Bond,4,0,31,1,7.75,4,0,/cricketers/shane-bond-36326,south-africa vs new-zealand
Mark Gillespie,3.1,1,11,2,3.47,0,1,/cricketers/mark-gillespie-37111,south-africa vs new-zealand
Chris Martin,4,0,40,1,10,0,1,/cricketers/chris-martin-37700,south-africa vs new-zealand
